date,region,course,off,race_name,race_type,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-04-06,GB,Chelmsford (AW),5:05,Ladies Day 2023 With Bananarama Handicap,Flat,0-60,3yo,,1m2f,10f,2012,Standard,7,6,7,4,19.75,5,Skyblue Expert (GB),3,G,118,tp,2:12.08,132.08,26.00,Shariq Mohd,Alice Haynes,,50,21,Expert Eye (GB),On The Stage GB,Swiss Spirit,Racing Unity And Partner,Disputed lead - pushed along 2f out - soon lost position - weakened and well behind inside final furlong(op 16/1)
2023-01-02,GB,Newcastle (AW),4:10,Spreadex Sports Best Odds On Sunderland Handicap,Flat,0-105,4yo+,,7f,7f,1421,Standard To Slow,6,6,1,5,0,0,Zip (GB),7,G,114,v,1:27.59,87.59,5.50,Mark Winn,Richard Fahey,13189.68,84,94,Kyllachy (GB),Flycatcher (IRE),Medicean,The Knavesmire Partnership,Prominent - led and shaken up over 1f out - ridden inside final furlong - comfortably(tchd 4/1)
2023-01-02,GB,Newcastle (AW),4:10,Spreadex Sports Best Odds On Sunderland Handicap,Flat,0-105,4yo+,,7f,7f,1421,Standard To Slow,6,2,2,6,1.75,1.75,Air To Air (GB),5,G,128,,1:27.94,87.94,6.00,Kevin Stott,George Boughey,6189.12,93,98,Toronado (IRE),Blossom Mills GB,Bahamian Bounty,The Blossom Mills Partnership,Slowly away - raced in last - headway on far side of group and went second over 1f out - kept on final 110yds - no match for winner(op 13/2 tchd 7/1)
2023-01-02,GB,Newcastle (AW),4:10,Spreadex Sports Best Odds On Sunderland Handicap,Flat,0-105,4yo+,,7f,7f,1421,Standard To Slow,6,4,3,3,3.75,2,Noisy Night (GB),4,G,124,,1:28.34,88.34,2.25,Hollie Doyle,Harry & Roger Charlton,3092.04,89,88,Night Of Thunder (IRE),Ya Hajar GB,Lycius,Saeed Jaber,Took keen hold - in touch with leaders - steady headway over 2f out - ridden and outpaced over 1f out - rallied inside final furlong - kept on(op Evens)
2023-01-02,GB,Newcastle (AW),4:10,Spreadex Sports Best Odds On Sunderland Handicap,Flat,0-105,4yo+,,7f,7f,1421,Standard To Slow,6,1,4,2,6.25,2.5,Lord Of The Lodge (IRE),6,H,132,,1:28.84,88.84,6.50,Pierre-Louis Jamin,K R Burke,1547.28,100,91,Dandy Man (IRE),Archetypal (IRE),Cape Cross,Mrs Elaine M Burke,Pressed leader - led halfway - ridden and headed over 1f out - weakened final 110yds(tchd 9/2)
2023-01-02,GB,Newcastle (AW),4:10,Spreadex Sports Best Odds On Sunderland Handicap,Flat,0-105,4yo+,,7f,7f,1421,Standard To Slow,6,5,5,1,7.5,1.25,Larado (FR),5,G,122,b,1:29.09,89.09,8.50,Theodore Ladd,Michael Appleby,771.12,87,75,Shalaa (IRE),Suertez (USA),Shamardal,Mrs Elisabeth Cash,Took keen hold - led - headed and raced in second halfway - ridden and lost position over 1f out - soon weakened(tchd 7/1)
2023-01-02,GB,Newcastle (AW),4:10,Spreadex Sports Best Odds On Sunderland Handicap,Flat,0-105,4yo+,,7f,7f,1421,Standard To Slow,6,3,6,4,8,0.5,Raising Sand (GB),11,G,126,p,1:29.19,89.19,34.00,Saffie Osborne,Jamie Osborne,,91,77,Oasis Dream (GB),Balalaika GB,Sadlers Wells,Nick Bradley Racing 22 Partner,Prominent - ridden and outpaced when edged left 2f out - soon beaten(op 25/1)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,7,1,6,0,0,Adeb (IRE),4,G,128,,1:13.42,73.42,9.00,Billy Garritty,Richard Fahey,5129.32,78,88,Cotai Glory (GB),Highest Praise GB,Acclamation,Al Mohamediya Racing,Slowly into stride - took keen hold - towards rear - going easily when bit short of room over 2f out - headway and went second over 1f out - led and clear with one other final 110yds - ran on(op 15/2 tchd 5/1)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,6,2,4,0.5,0.5,Bellagio Man (IRE),5,G,129,p,1:13.52,73.52,6.00,Cam Hardie,Antony Brittain,2406.88,79,87,Dandy Man (IRE),Rouge Noir GB,Showcasing,Paul Musson Antony Brittain,Slowly away - held up in last - good headway on far side of group to lead over 1f out - soon ridden - drifted right and headed but went clear with winner final 110yds - held towards finish - did well in the circumstances(op 11/2)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,1,3,1,5.5,5,Sir Robin (IRE),4,G,137,,1:14.52,74.52,4.50,Sam James,K R Burke,1202.46,87,79,El Kabeir (USA),Lightwood Lady (IRE),Anabaa,Mrs Barbara Facchino,Took keen hold - prominent - ridden and every chance over 1f out - outpaced final 110yds(op 4/1 tchd 7/2)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,3,4,5,6,0.5,Brazen Bolt (GB),6,G,132,,1:14.62,74.62,5.00,Hollie Doyle,John Quinn,601.72,82,72,Brazen Beau (AUS),Gladys Gal GB,Tobougg,Fishlake Commercial Motors Ltd,Took keen hold - prominent - went second over 3f out - ridden and briefly led over 1f out - outpaced final 110yds(tchd 9/2)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,4,5,2,6.5,0.5,Ballyconneely Bay (IRE),5,G,129,,1:14.72,74.72,26.00,Graham Lee,Julie Camacho,299.88,79,68,Fast Company (IRE),Kathy Sun (IRE),Intikhab,Martin Hughes,Prominent - ridden and outpaced 2f out - beaten inside final furlong(op 20/1 tchd 28/1)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,8,6,3,7.25,0.75,Muscika (GB),9,G,128,p,1:14.87,74.87,29.00,Richard Oliver,David OMeara,,78,64,Kyllachy (GB),Miss Villefranche GB,Danehill Dancer,Gallop Racing I,Took keen hold - led - ridden and headed over 1f out - weakened inside final furlong(tchd 33/1)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,5,7,7,8.5,1.25,Blind Beggar (IRE),5,G,129,p,1:15.12,75.12,4.00,Theodore Ladd,Michael Appleby,,79,61,Equiano (FR),Beylerbey (USA),Street Cry,B M Pallets Ltd,Took keen hold - pressed leader - prominent over 3f out - ridden and outpaced over 1f out - soon beaten (trainer's rep had no explanation for the poor form shown; vet said a post-race examination revealed the gelding to be coughing)(op 5/2 tchd 10/3)
2023-01-02,GB,Newcastle (AW),4:40,Huge Daily Boosts Only At BetUK Handicap,Flat,0-85,4yo+,,6f,6f,1207,Standard To Slow,8,2,8,8,8.75,0.3,Khabib (IRE),5,G,134,p,1:15.17,75.17,8.50,Tom Eaves,Ray Craggs,,84,65,Mehmas (IRE),Lady Mega (IRE),Kodiac,Ray Craggs,Held up in rear - not clear run over 2f out - ridden over 1f out - soon beaten(op 7/1 tchd 13/2)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,4,1,5,0,0,Skye Breeze (IRE),4,G,130,tp,2:50.65,170.65,2.75,Hollie Doyle,Edward Bethell,4187.20,70,78,Pride Of Dubai (AUS),Zelloof (IRE),Kheleyf,M Dawson,Took keen hold - prominent - ridden 2f out - led and edged left final 110yds - stayed on(op 9/4 tchd 5/2)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,6,2,6,1,1,Glittering Choice (GB),4,F,126,tv,2:50.85,170.85,26.00,Clifford Lee,Hugo Palmer,1964.80,66,72,Havana Gold (IRE),Adorable Choice (IRE),Choisir,John Brown,In touch with leaders - smooth headway on near side of group over 2f out - led over 1f out - ridden and headed final 110yds - kept on(op 20/1)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,8,3,7,1.5,0.5,Hildenley (GB),6,G,121,t,2:50.95,170.95,15.00,Duran Fentiman,Tim Easterby,981.60,58,63,Teofilo (IRE),Alpine Storm (IRE),Ravens Pass,Elsa Crankshaw Gordon Allan Partner,Dwelt start - took keen hold - held up in rear - headway on near side of group and prominent over 1f out - soon ridden - kept on final 110yds
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,5,4,8,5.75,4.25,Isle Of Wolves (GB),7,G,127,,2:51.80,171.80,8.00,Joanna Mason,Harriet Bethell,491.20,64,62,Nathaniel (IRE),LIle Aux Loups (IRE),Rock Of Gibraltar,W A Bethell,Disputed lead - led over 3f out - ridden and headed over 2f out - weakened gradually inside final furlong(op 15/2 tchd 13/2)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,1,5,2,9.25,3.5,Victory March (IRE),6,G,143,,2:52.50,172.50,2.20,Dale Swift,Seb Spencer,244.80,80,73,Zoffany (IRE),Seatone (USA),Mizzen Mast,Magna Carter Bloodstock,Dwelt start - held up in last - pushed along over 4f out - headway over 2f out - hung left over 1f out - weakened inside final furlong (jockey said gelding ran flat)(op Evens tchd 5/4)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,3,6,1,12,2.75,Peripeteia (GB),5,M,131,,2:53.05,173.05,19.00,Kevin Stott,Philip Kirby,,68,56,Sir Percy (GB),Archduchess GB,Archipenko,Redhotgardogs,Towards rear - headway over 2f out - ridden and weakened over 1f out(op 14/1)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,2,7,3,15.25,3.25,Gift Of Raaj (IRE),8,G,127,,2:53.70,173.70,29.00,Jonny Peate,Roger Fell,,69,52,Iffraaj (GB),Gift Of Spring (USA),Gilded Time,Fishlake Commercial Motors Ltd,Prominent - pushed along 3f out - ridden and weakened from 2f out(op 22/1)
2023-01-02,GB,Newcastle (AW),2:38,Top Odds Every Day With BetUK Handicap,Flat,0-75,4yo+,,1m4½f,12.5f,2504,Standard To Slow,8,7,8,4,21.25,6,Bobba Tee (GB),11,G,123,,2:54.90,174.90,41.00,Ryan Sexton,Alan Brown,,63,37,Rail Link (GB),Trompette (USA),Bahri,David Furman John Sugarman,Led narrowly or disputed lead - headed over 3f out - ridden and weakened from 2f out(tchd 50/1)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,2,1,3,0,0,Boafo Boy (GB),4,G,136,,1:31.36,91.36,9.00,Saffie Osborne,Jamie Osborne,4187.20,76,83,Lope De Vega (IRE),Royal Empress (IRE),Holy Roman Emperor,A Mana,Prominent on far side of group - went second over 1f out - ridden to lead inside final furlong - edged right and kept on inside final 110yds(op 7/1 tchd 17/2)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,5,2,8,0.3,0.3,Novak (GB),4,G,127,,1:31.42,91.42,5.00,Andrew Mullen,Iain Jardine,1964.80,67,73,Mastercraftsman (IRE),Parknasilla (IRE),Dutch Art,Mrs Francesca Mitchell,Took keen hold - led - ridden over 1f out - edged right and headed inside final furlong - soon rallied - kept on(tchd 7/2 and tchd 9/2)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,3,3,1,1,0.75,Anif (IRE),9,G,135,,1:31.56,91.56,7.00,Tom Eaves,Michael Herrington,981.60,75,79,Cape Cross (IRE),Cadenza (FR),Dansili,Stuart Herrington Peter Forster,Held up in rear - steady headway on near side of group over 2f out - ridden and went third inside final furlong - kept on(op 11/2)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,8,4,2,1.25,0.3,Pallas Lord (IRE),5,G,122,,1:31.61,91.61,13.00,Ben Robinson,Donald Whillans,491.20,62,65,Dandy Man (IRE),Nutshell GB,Dubai Destination,D W Whillans,In touch with leaders - steady headway halfway - ridden and outpaced over 1f out - rallied final 110yds(op 11/1 tchd 10/1)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,4,5,6,2.5,1.25,Old News (GB),6,G,131,,1:31.86,91.86,3.25,Hollie Doyle,Linda Stubbs,122.40,71,70,Dutch Art (GB),Queens Charter GB,Oasis Dream,P G Shorrock,Took keen hold - in touch with leaders - steady headway halfway - ridden and edged left over 1f out - short of room inside final furlong - soon outpaced(tchd 2/1 and tchd 5/2)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,6,5,5,2.5,0,Abnaa (GB),6,G,127,b,1:31.86,91.86,10.00,Cam Hardie,Antony Brittain,,67,66,Dark Angel (IRE),Along Came Casey (IRE),Oratorio,John And Tony Jarvis And Partner,Dwelt start - took keen hold - towards rear - ridden and outpaced over 2f out - rallied inside final furlong - not reach leaders(op 8/1)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,7,7,4,3,0.3,Teruntum Star (FR),11,G,124,p,1:31.96,91.96,67.00,Dale Swift,Scott Dixon,,64,62,Dutch Art (GB),Seralia GB,Royal Academy,Mrs Emma Jepson,Held up in rear - ridden and edged left over 1f out - kept on final 110yds - never dangerous(tchd 50/1)
2023-01-02,GB,Newcastle (AW),3:08,Spreadex Sports £300 Spread Betting Cashback Handicap,Flat,0-75,4yo+,,7f,7f,1421,Standard To Slow,8,1,8,7,7.5,4.5,Parallel World (IRE),7,G,132,b,1:32.86,92.86,5.50,Sam Feilden,K R Burke,,79,64,Morpheus (GB),Miss Glitters (IRE),Chevalier,Mrs Elaine M Burke,Took keen hold - raced in second - ridden and lost position over 1f out - soon weakened (jockey said gelding ran flat)(tchd 4/1 and tchd 5/1)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,6,1,5,0,0,Abbeys Dream (GB),3,F,128,,1:30.92,90.92,2.25,Hollie Doyle,Archie Watson,4320,68,67,Tasleet (GB),Blue Oyster GB,Medicean,Ontoawinner Partner,Took keen hold - raced in second - led over 2f out - ridden and edged left over 1f out - kept on final 110yds(op 10/11)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,5,2,6,1.25,1.25,Sprezzatura (IRE),3,C,131,p,1:31.17,91.17,19.00,Andrew Mullen,Iain Jardine,2028,68,65,Muhaarar (GB),Parle Moi (USA),Giants Causeway,The Strattonites,Prominent - every chance over 2f out - soon went second - ridden and kept on from 1f out - no match for winner(op 10/1 tchd 17/2)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,1,3,3,1.25,0.1,Sunfyre (GB),3,G,133,,1:31.19,91.19,3.00,Ben Robinson,Brian Ellison,1014.40,–,67,Twilight Son (GB),Lunar Corona GB,Dansili,The Artis Partnership,Took keen hold - prominent - ridden and outpaced 2f out - rallied and edged left 1f out - kept on (jockey said gelding ran too freely)(op 7/2)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,7,4,4,4,2.75,Lets Fly Away (GB),3,F,128,,1:31.72,91.72,10.00,Kieran ONeill,Alice Haynes,507.20,–,54,James Garfield (IRE),Emirates Holidays (USA),Dubawi,Miss Alice Haynes,Slowly away - ducked sharply right start - took keen hold - in rear - headway on far side of group and prominent over 2f out - outpaced over 1f out - hung right and weakened inside final furlong(op 11/1)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,3,5,8,4.5,0.3,Dream Final (GB),3,G,128,,1:31.82,91.82,9.50,Oliver Stammers,Edward Bethell,,–,56,Mukhadram (GB),Fen Ali GB,Harbour Watch,M M Foulger,Reluctant to load - dwelt start - soon in touch with leaders - bit short of room over 2f out - ridden and headway over 1f out - beaten final 110yds(op 11/1 tchd 8/1)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,2,6,2,7.75,3.25,The Kings Men (GB),3,C,133,,1:32.47,92.47,21.00,Connor Beasley,Michael Dods,,67,48,Unfortunately (IRE),Natty Bumppo (IRE),Kheleyf,Andrew Tinkler,Took keen hold - held up in rear - ridden and headway over 1f out - weakened inside final furlong(op 12/1 tchd 11/1)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,8,7,1,13.25,5.5,Boucle (GB),3,F,126,,1:33.57,93.57,81.00,Callum Rodriguez,Edward Bethell,,–,25,Mondialiste (IRE),Benaras (USA),Gio Ponti,Geoff Sandra Turnbull,Ducked left start - soon midfield - ridden and outpaced over 2f out - soon beaten(tchd 100/1)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,9,8,9,18.25,5,Killing Eve (IRE),3,F,126,,1:34.57,94.57,29.00,Sam James,Katie Scott,,–,10,Dawn Approach (IRE),Whisp (GER),Rainbow Quest,Lamont Racing,Took keen hold - led - headed over 2f out - ridden and weakened over 1f out(op 25/1)
2023-01-02,GB,Newcastle (AW),3:38,talkSPORT Download The App Restricted Maiden Stakes (For Horses In Bands C And D) (GBB Race),Flat,,3yo,,7f,7f,1421,Standard To Slow,9,4,9,7,26.75,8.5,Musical Youth (GB),3,G,131,,1:36.27,96.27,26.00,Tom Eaves,Michael Herrington,,–,–,Fountain Of Youth (IRE),Tawaasul GB,Haafhd,David Frame Mrs H Lloyd Herrington,Slowly away - raced in last and struggling throughout(op 22/1)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,9,1,8,0,0,Joshua R (IRE),6,G,127,p,1:0.80,60.80,8.00,James Sullivan,Helen Cuthbert,3402.10,52,60,Canford Cliffs (IRE),Khobaraa GB,Invincible Spirit,Miss Helen E Cuthbert,Took keen hold - midfield - ridden and headway on near side of group over 1f out - led inside final 110yds - just prevailed(op 13/2)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,5,2,5,0.2,0.2,Ramdon Rocks (GB),4,G,132,t,1:0.84,60.84,9.00,Kieran ONeill,Alice Haynes,1596.40,57,64,Iffraaj (GB),Panova GB,Invincible Spirit,Racing Unity And Partner,Hampered start - held up in rear - headway on near side of group over 1f out - soon ridden - went second final strides - just held(op 5/1)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,11,3,9,0.5,0.3,Rockley Point (GB),10,G,121,b,1:0.90,60.90,15.00,Sam James,Katie Scott,797.55,46,52,Canford Cliffs (IRE),Statua (IRE),Statoblest,The Vintage Flyers,Prominent - ridden and went second over 1f out - briefly led final 110yds - kept on(op 22/1)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,8,4,4,1,0.5,Tathmeen (IRE),8,G,128,p,1:1.00,61.00,13.00,Cam Hardie,Antony Brittain,399.10,53,57,Exceed And Excel (AUS),Deyaar (USA),Storm Cat,Antony Brittain,Towards rear on far side of group - pushed along halfway - headway and ridden over 1f out - soon edged right - kept on final 110yds(op 10/1)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,4,5,1,1.5,0.5,Waverley Star (GB),4,G,129,p,1:1.10,61.10,7.00,Ryan Sexton,Alan Brown,198.90,57,59,Peace Envoy (FR),Redalani (IRE),Redback,S Pedersen,Led - ridden 2f out - headed final 110yds - no extra towards finish
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,7,6,3,2.75,1.25,Rose Bandit (IRE),6,M,130,p,1:1.35,61.35,8.50,Andrew Mullen,Iain Jardine,,55,53,Requinto (IRE),Poppys Rose GB,Diktat,The Strattonites,Prominent - ridden 2f out - no extra final 110yds(op 7/1 tchd 13/2)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,1,7,11,3,0.2,Latin Five (IRE),6,G,137,,1:1.44,61.44,23.00,Paul Mulrennan,Paul Midgley,,62,59,Camacho (GB),Penolva (IRE),Galileo,Sandfield,Dwelt start - held up in last - switched left soon after start - steady headway when not clear run repeatedly from over 1f out - ridden briefly inside final 110yds - not reach leaders (jockey said gelding was denied a clear run inside the final furlong)(tchd 20/1)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,2,8,10,5.25,2.25,Tantastic (GB),5,G,131,p,1:1.85,61.85,7.00,Zak Wheatley,John Wainwright,,61,50,Mayson (GB),Love Island GB,Acclamation,Fast Track Racing,Towards rear on near side of group - ridden and outpaced 2f out - kept on final 110yds - not pace to challenge(op 17/2)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,3,9,7,6.25,1,Whiteandblue (GB),4,F,133,,1:2.05,62.05,4.33,Oliver Stammers,Grant Tuer,,61,46,Fountain Of Youth (IRE),Whiteandgold GB,Major Cadeaux,Akebar Park Leisure Ltd,Raced in second - ridden and lost position over 1f out - weakened inside final furlong(op 7/2)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,6,10,2,7,0.75,Amasova (GB),5,M,131,p,1:2.20,62.20,23.00,Lewis Edmunds,Jessica Macey,,56,39,Pivotal (GB),Russian Heroine GB,Invincible Spirit,Garrad Brothers Equine,In touch with leaders on far side of group - ridden and outpaced halfway - beaten over 1f out(op 16/1)
2023-01-02,GB,Newcastle (AW),5:10,BetUK Over 40 000 Live Streamed Races Handicap,Flat,0-60,4yo+,,5f,5f,1006,Standard To Slow,11,10,11,6,9,2,Secret Equity (GB),6,M,123,p,1:2.60,62.60,13.00,Graham Lee,Julie Camacho,,48,24,Equiano (FR),Secret Charge GB,Recharge,B A Mcgarrigle Julie Camacho,Midfield - ridden halfway - weakened under 2f out
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,6,1,2,0,0,Ladywantaway (IRE),3,F,124,,1:1.38,61.38,4.33,Jonny Peate,Roger Fell,3402.10,54,62,Awtaad (IRE),Lady Vyrnwy (IRE),Bertolini,Nick Bradley Racing 3 And Partner,In touch with leaders on far side of group - headway and went second over 1f out - led and ridden inside final furlong - edged right final 110yds - ran on(op 7/2 tchd 3/1)
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,4,2,4,2,2,Furnicoe (IRE),3,F,132,,1:1.78,61.78,4.33,Hollie Doyle,Michael Appleby,1596.40,57,58,Dandy Man (IRE),Right Rave (IRE),Soviet Star,Sbk Racing Ltd,Raced in second - led and ridden over 1f out - headed inside final furlong - no match for winner(op 3/1 tchd 7/2)
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,1,3,3,2.25,0.3,Mr Rascal (GB),3,G,137,p,1:1.83,61.83,6.50,Kevin Stott,George Boughey,797.55,62,62,Showcasing (GB),A Huge Dream (IRE),Refuse To Bend,Rosier Rosier Partner,Dwelt start - in rear - ridden halfway - headway over 1f out - went third inside final furlong - ran on(op 5/1)
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,3,4,6,2.75,0.5,Smooth Red (GB),3,G,130,,1:1.93,61.93,5.50,Oliver Stammers,Grant Tuer,399.10,58,56,Jungle Cat (IRE),Greek Tragedy GB,Dawn Approach,N Dalgarno,In touch with leaders - ridden and outpaced over 1f out - rallied inside final furlong - no extra towards finish(op 7/2 tchd 10/3 and tchd 5/1)
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,5,5,1,3.75,1,Storminghull (GB),3,G,131,p,1:2.13,62.13,7.00,Lewis Edmunds,Nigel Tinkler,198.90,56,51,Night Of Thunder (IRE),Grace Hull GB,Piccolo,Ron Hull,Slowly into stride - in rear - ridden and outpaced halfway - headway on far side of group inside final furlong - kept on - nearest finish(op 7/1)
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,8,6,8,4.5,0.75,Northern Chancer (GB),3,C,114,,1:2.28,62.28,17.00,Madi Patzelt,Philip Kirby,,46,38,Brazen Beau (AUS),Marmot Bay (IRE),Kodiac,P Kirby,Took keen hold - led - ridden when edged left and headed over 1f out - weakened gradually final 110yds (jockey said colt hung left-handed)(op 18/1)
2023-01-02,GB,Newcastle (AW),5:40,talkSPORT Powered By Fans Handicap,Flat,0-60,3yo,,5f,5f,1006,Standard To Slow,8,2,7,7,8,3.5,Seabreezes (GB),3,F,134,,1:2.98,62.98,10.00,Tom Eaves,Tim Easterby,,59,38,Washington DC (IRE),Seamisst GB,Sepoy,Bearstone Stud Limited,Took keen hold - prominent - ridden and lost position over 1f out - soon beaten(op 11/1)
